prev_caption,curr_caption,human_transition,input_text
a man is putting a container of food into a microwave,a man is pouring water into a container,,"Caption 1: a man is putting a container of food into a microwave
Caption 2: a man is pouring water into a container
What's the transition?"
a man is pouring water into a container,a man is making a cake in a kitchen,,"Caption 1: a man is pouring water into a container
Caption 2: a man is making a cake in a kitchen
What's the transition?"
a man is making a cake in a kitchen,a man is making a pizza in a kitchen,,"Caption 1: a man is making a cake in a kitchen
Caption 2: a man is making a pizza in a kitchen
What's the transition?"
a man is holding a knife in his hand,a man is making a shoe on a table,,"Caption 1: a man is holding a knife in his hand
Caption 2: a man is making a shoe on a table
What's the transition?"
a man is sitting on a table with a knife,a man is standing on a block with a hammer,,"Caption 1: a man is sitting on a table with a knife
Caption 2: a man is standing on a block with a hammer
What's the transition?"
a man is standing on a block with a hammer,a man is bending his foot on a table,,"Caption 1: a man is standing on a block with a hammer
Caption 2: a man is bending his foot on a table
What's the transition?"
a man is bending his foot on a table,a man is holding a piece of wood,,"Caption 1: a man is bending his foot on a table
Caption 2: a man is holding a piece of wood
What's the transition?"
a man is holding a piece of wood,a man is standing on a table with a knife,,"Caption 1: a man is holding a piece of wood
Caption 2: a man is standing on a table with a knife
What's the transition?"
a man holding a pink bag,a man holding a baby in his arms,,"Caption 1: a man holding a pink bag
Caption 2: a man holding a baby in his arms
What's the transition?"
a man holding a baby in his arms,a man holding a piece of meat in his hands,,"Caption 1: a man holding a baby in his arms
Caption 2: a man holding a piece of meat in his hands
What's the transition?"
a man holding a knife and a piece of meat,a man holding a knife and a bag,,"Caption 1: a man holding a knife and a piece of meat
Caption 2: a man holding a knife and a bag
What's the transition?"
two women standing in front of a window,a woman talking to another woman in a room,,"Caption 1: two women standing in front of a window
Caption 2: a woman talking to another woman in a room
What's the transition?"
a woman talking to another woman in a room,a woman holding a microphone,,"Caption 1: a woman talking to another woman in a room
Caption 2: a woman holding a microphone
What's the transition?"
a man holding a knife in front of a stone wall,a man is throwing a frck,,"Caption 1: a man holding a knife in front of a stone wall
Caption 2: a man is throwing a frck
What's the transition?"
a man is throwing a ball in the street,a man standing on a sidewalk,,"Caption 1: a man is throwing a ball in the street
Caption 2: a man standing on a sidewalk
What's the transition?"
a man standing on a sidewalk,a man in a blue shirt,,"Caption 1: a man standing on a sidewalk
Caption 2: a man in a blue shirt
What's the transition?"
a man in a blue shirt,a man throwing a ball,,"Caption 1: a man in a blue shirt
Caption 2: a man throwing a ball
What's the transition?"
a man is holding a sword in a room,a man in black shirt and red pants kicking a man in black shirt,,"Caption 1: a man is holding a sword in a room
Caption 2: a man in black shirt and red pants kicking a man in black shirt
What's the transition?"
a man in black shirt and red pants kicking a man in black shirt,a man with a knife and a bunch of red feathers,,"Caption 1: a man in black shirt and red pants kicking a man in black shirt
Caption 2: a man with a knife and a bunch of red feathers
What's the transition?"
a man with a knife and a bunch of red feathers,a man in a black shirt,,"Caption 1: a man with a knife and a bunch of red feathers
Caption 2: a man in a black shirt
What's the transition?"
a man in a black shirt,a man is doing a trick on a pole,,"Caption 1: a man in a black shirt
Caption 2: a man is doing a trick on a pole
What's the transition?"
a little girl sitting on a brick patio,a little girl is standing on a stone walkway,,"Caption 1: a little girl sitting on a brick patio
Caption 2: a little girl is standing on a stone walkway
What's the transition?"
a little girl is standing on a stone walkway,a little girl is playing with a cat,,"Caption 1: a little girl is standing on a stone walkway
Caption 2: a little girl is playing with a cat
What's the transition?"
a little girl is playing with a toy,a little girl standing on a stone walkway,,"Caption 1: a little girl is playing with a toy
Caption 2: a little girl standing on a stone walkway
What's the transition?"
a man climbing on a rock with a rope,a man is seen in the water while he is swimming,,"Caption 1: a man climbing on a rock with a rope
Caption 2: a man is seen in the water while he is swimming
What's the transition?"
a shark is swimming in the water,a man is seen in the water as he dives into the ocean,,"Caption 1: a shark is swimming in the water
Caption 2: a man is seen in the water as he dives into the ocean
What's the transition?"
a man is seen in the water as he dives into the ocean,a large explosion of water is seen in the air,,"Caption 1: a man is seen in the water as he dives into the ocean
Caption 2: a large explosion of water is seen in the air
What's the transition?"
a large explosion of water is seen in the air,a firework is seen in the sky,,"Caption 1: a large explosion of water is seen in the air
Caption 2: a firework is seen in the sky
What's the transition?"
a firework is seen in the sky,a large asteroid is seen in the sky,,"Caption 1: a firework is seen in the sky
Caption 2: a large asteroid is seen in the sky
What's the transition?"
a large asteroid is seen in the sky,a large group of fish swimming in the ocean,,"Caption 1: a large asteroid is seen in the sky
Caption 2: a large group of fish swimming in the ocean
What's the transition?"
a large group of fish swimming in the ocean,a large school of fish swimming in a blue ocean,,"Caption 1: a large group of fish swimming in the ocean
Caption 2: a large school of fish swimming in a blue ocean
What's the transition?"
a man riding a horse in an indoor arena,a horse is standing in an open barn,,"Caption 1: a man riding a horse in an indoor arena
Caption 2: a horse is standing in an open barn
What's the transition?"
a horse is running in an open barn,a man walking into a dark room with a light coming through the door,,"Caption 1: a horse is running in an open barn
Caption 2: a man walking into a dark room with a light coming through the door
What's the transition?"
a man walking into a dark room with a light coming through the door,a horse is standing in the snow,,"Caption 1: a man walking into a dark room with a light coming through the door
Caption 2: a horse is standing in the snow
What's the transition?"
a dog running on a leash in the grass,a dog is standing in the grass outside,,"Caption 1: a dog running on a leash in the grass
Caption 2: a dog is standing in the grass outside
What's the transition?"
a dog is standing in the grass outside,two cats playing in the yard,,"Caption 1: a dog is standing in the grass outside
Caption 2: two cats playing in the yard
What's the transition?"
a dog is playing with a ball in the yard,a man riding a skateboard down a street,,"Caption 1: a dog is playing with a ball in the yard
Caption 2: a man riding a skateboard down a street
What's the transition?"
a man riding a skateboard down a street,a black dog running in the grass,,"Caption 1: a man riding a skateboard down a street
Caption 2: a black dog running in the grass
What's the transition?"
a black dog running in the grass,a dog is standing in the grass,,"Caption 1: a black dog running in the grass
Caption 2: a dog is standing in the grass
What's the transition?"
a dog is standing in the grass,a black cat chasing a white cat,,"Caption 1: a dog is standing in the grass
Caption 2: a black cat chasing a white cat
What's the transition?"
a man is riding a motorcycle down the street,a man is standing on the sidewalk,,"Caption 1: a man is riding a motorcycle down the street
Caption 2: a man is standing on the sidewalk
What's the transition?"
a man is standing on the sidewalk,a car is driving down the street in the city,,"Caption 1: a man is standing on the sidewalk
Caption 2: a car is driving down the street in the city
What's the transition?"
a car is driving down the street in the city,a car is parked on the side of the road,,"Caption 1: a car is driving down the street in the city
Caption 2: a car is parked on the side of the road
What's the transition?"
a car is parked on the side of the road,a man is being pulled by a motorcycle,,"Caption 1: a car is parked on the side of the road
Caption 2: a man is being pulled by a motorcycle
What's the transition?"
a man is walking down the street with a dog,a group of people standing around a fire,,"Caption 1: a man is walking down the street with a dog
Caption 2: a group of people standing around a fire
What's the transition?"
a group of people standing around a fire,a man is seen in the middle of a street at night,,"Caption 1: a group of people standing around a fire
Caption 2: a man is seen in the middle of a street at night
What's the transition?"
a rhino eating hay,a baby elephant and its mother in a zoo,,"Caption 1: a rhino eating hay
Caption 2: a baby elephant and its mother in a zoo
What's the transition?"
a baby elephant and its mother in a zoo,a baby hippoel in a pen,,"Caption 1: a baby elephant and its mother in a zoo
Caption 2: a baby hippoel in a pen
What's the transition?"
a baby hippoel in a pen,a baby rhino,,"Caption 1: a baby hippoel in a pen
Caption 2: a baby rhino
What's the transition?"
a man is wrestling with a woman in a wrestling ring,a young boy is laying down on the ground,,"Caption 1: a man is wrestling with a woman in a wrestling ring
Caption 2: a young boy is laying down on the ground
What's the transition?"
hindi movie dialoguess,hindi movie song,,"Caption 1: hindi movie dialoguess
Caption 2: hindi movie song
What's the transition?"
a baby eating a banana,a baby sitting in a high chair,,"Caption 1: a baby eating a banana
Caption 2: a baby sitting in a high chair
What's the transition?"
a man is dancing in the middle of a room,a man is standing in a room with a knife,,"Caption 1: a man is dancing in the middle of a room
Caption 2: a man is standing in a room with a knife
What's the transition?"
man vs wild with anthony,a man and a wild woman,,"Caption 1: man vs wild with anthony
Caption 2: a man and a wild woman
What's the transition?"
a man holding a tennis racket in his hand,a man with a white shirt,,"Caption 1: a man holding a tennis racket in his hand
Caption 2: a man with a white shirt
What's the transition?"
a man with a white shirt,a young boy sitting on a picnic table,,"Caption 1: a man with a white shirt
Caption 2: a young boy sitting on a picnic table
What's the transition?"
a young boy sitting on a picnic table,a man jumping over a table in a park,,"Caption 1: a young boy sitting on a picnic table
Caption 2: a man jumping over a table in a park
What's the transition?"
a man jumping over a table in a park,a man is throwing a frun in a park,,"Caption 1: a man jumping over a table in a park
Caption 2: a man is throwing a frun in a park
What's the transition?"
a man is throwing a frun in a park,a boy sitting on a bench in a park,,"Caption 1: a man is throwing a frun in a park
Caption 2: a boy sitting on a bench in a park
What's the transition?"
a black background with a white and red flower,a man is skateboarding on a concrete ramp,,"Caption 1: a black background with a white and red flower
Caption 2: a man is skateboarding on a concrete ramp
What's the transition?"
a group of people are walking in a line,a group of cartoon characters are running in a line,,"Caption 1: a group of people are walking in a line
Caption 2: a group of cartoon characters are running in a line
What's the transition?"
a group of cartoon characters are walking together,a group of cartoon characters are dancing,,"Caption 1: a group of cartoon characters are walking together
Caption 2: a group of cartoon characters are dancing
What's the transition?"
a small white puppy playing with a ball,a white dog is running in the street,,"Caption 1: a small white puppy playing with a ball
Caption 2: a white dog is running in the street
What's the transition?"
a white cat is running through the street,a small dog playing with a ball on the ground,,"Caption 1: a white cat is running through the street
Caption 2: a small dog playing with a ball on the ground
What's the transition?"
a dog is playing with a toy on the street,a small white dog sitting on top of a table,,"Caption 1: a dog is playing with a toy on the street
Caption 2: a small white dog sitting on top of a table
What's the transition?"
a man wearing a brown jacket,a man sitting on a couch talking on a cell,,"Caption 1: a man wearing a brown jacket
Caption 2: a man sitting on a couch talking on a cell
What's the transition?"
the rockys - the rockys,a group of women in red dresses on stage,,"Caption 1: the rockys - the rockys
Caption 2: a group of women in red dresses on stage
What's the transition?"
a group of women in red dresses on a stage,a woman in a white dress is dancing,,"Caption 1: a group of women in red dresses on a stage
Caption 2: a woman in a white dress is dancing
What's the transition?"
a car is driving down a hill,a man is walking down the road near a truck,,"Caption 1: a car is driving down a hill
Caption 2: a man is walking down the road near a truck
What's the transition?"
a man is walking down the road near a truck,a man riding a bike down a hill,,"Caption 1: a man is walking down the road near a truck
Caption 2: a man riding a bike down a hill
What's the transition?"
a woman in a white shirt and a man in a black shirt,a man in a suit is walking down the street,,"Caption 1: a woman in a white shirt and a man in a black shirt
Caption 2: a man in a suit is walking down the street
What's the transition?"
a man in a suit is walking down the street,a man holding a knife in his hand,,"Caption 1: a man in a suit is walking down the street
Caption 2: a man holding a knife in his hand
What's the transition?"
a man holding a knife in his hand,a man is dancing on the street,,"Caption 1: a man holding a knife in his hand
Caption 2: a man is dancing on the street
What's the transition?"
a man is dancing on the street,a man in a white shirt is dancing,,"Caption 1: a man is dancing on the street
Caption 2: a man in a white shirt is dancing
What's the transition?"
a man in a white shirt is dancing,a man holding a knife,,"Caption 1: a man in a white shirt is dancing
Caption 2: a man holding a knife
What's the transition?"
a man holding a sword in his hand,a man in a white shirt is running down the street,,"Caption 1: a man holding a sword in his hand
Caption 2: a man in a white shirt is running down the street
What's the transition?"
a man in a white shirt is running down the street,a man in a white shirt,,"Caption 1: a man in a white shirt is running down the street
Caption 2: a man in a white shirt
What's the transition?"
a woman is holding a baby in her arms,a man in a white shirt playing a guitar,,"Caption 1: a woman is holding a baby in her arms
Caption 2: a man in a white shirt playing a guitar
What's the transition?"
a man in a white shirt playing a guitar,a man with a beard,,"Caption 1: a man in a white shirt playing a guitar
Caption 2: a man with a beard
What's the transition?"
a man in a white shirt is holding a knife,a man is walking down the street with a stick,,"Caption 1: a man in a white shirt is holding a knife
Caption 2: a man is walking down the street with a stick
What's the transition?"
a man is walking down the street with a stick,a video screen showing two men in a parking,,"Caption 1: a man is walking down the street with a stick
Caption 2: a video screen showing two men in a parking
What's the transition?"
a yellow apple sitting on top of a wooden table,a woman is cutting up a lemon in the kitchen,,"Caption 1: a yellow apple sitting on top of a wooden table
Caption 2: a woman is cutting up a lemon in the kitchen
What's the transition?"
a blackboard with a chalk board,a woman writing on a blackboard in front of a brick wall,,"Caption 1: a blackboard with a chalk board
Caption 2: a woman writing on a blackboard in front of a brick wall
What's the transition?"
a man and woman standing in front of a cave,a man in a cave with a camera,,"Caption 1: a man and woman standing in front of a cave
Caption 2: a man in a cave with a camera
What's the transition?"
a man in a cave with a camera,a man in a shirt is holding a baby,,"Caption 1: a man in a cave with a camera
Caption 2: a man in a shirt is holding a baby
What's the transition?"
a tiger walking across a field with mountains in the background,a tiger is laying on the ground,,"Caption 1: a tiger walking across a field with mountains in the background
Caption 2: a tiger is laying on the ground
What's the transition?"
a tiger is laying on the ground,a tiger cub is seen playing with a human,,"Caption 1: a tiger is laying on the ground
Caption 2: a tiger cub is seen playing with a human
What's the transition?"
a tiger cub is seen playing with a human,a man is holding a tiger in his hand,,"Caption 1: a tiger cub is seen playing with a human
Caption 2: a man is holding a tiger in his hand
What's the transition?"
a man is holding a tiger in his hand,a man is playing with a tiger in the water,,"Caption 1: a man is holding a tiger in his hand
Caption 2: a man is playing with a tiger in the water
What's the transition?"
a man is playing with a tiger in the water,a man is jumping into a pool,,"Caption 1: a man is playing with a tiger in the water
Caption 2: a man is jumping into a pool
What's the transition?"
a bowl of ice and a glass of water,a woman in a kitchen with two dogs,,"Caption 1: a bowl of ice and a glass of water
Caption 2: a woman in a kitchen with two dogs
What's the transition?"
a small branch in the water with water droplets,a small bird is sitting on a branch in the water,,"Caption 1: a small branch in the water with water droplets
Caption 2: a small bird is sitting on a branch in the water
What's the transition?"
a young boy playing a cello in a classroom,a man playing a cello in a room,,"Caption 1: a young boy playing a cello in a classroom
Caption 2: a man playing a cello in a room
What's the transition?"
a man in a kitchen drinking a glass,a man in a kitchen,,"Caption 1: a man in a kitchen drinking a glass
Caption 2: a man in a kitchen
What's the transition?"
a man in a kitchen holding a white object,a man in a kitchen with a microwave,,"Caption 1: a man in a kitchen holding a white object
Caption 2: a man in a kitchen with a microwave
What's the transition?"
an egg is sitting on a counter top,a man in a kitchen preparing food,,"Caption 1: an egg is sitting on a counter top
Caption 2: a man in a kitchen preparing food
What's the transition?"
a mouse playing the piano,a man is laying on the ground in front of a building,,"Caption 1: a mouse playing the piano
Caption 2: a man is laying on the ground in front of a building
What's the transition?"
a man is laying on the ground in front of a building,a man playing a piano in a room,,"Caption 1: a man is laying on the ground in front of a building
Caption 2: a man playing a piano in a room
What's the transition?"
a frying pan with beef and onions,a woman in a kitchen preparing food,,"Caption 1: a frying pan with beef and onions
Caption 2: a woman in a kitchen preparing food
What's the transition?"
a pan of salmon being cooked on a stove,a woman in a kitchen with a dog,,"Caption 1: a pan of salmon being cooked on a stove
Caption 2: a woman in a kitchen with a dog
What's the transition?"
a man holding a small animal in his hands,a man is holding a small animal in his lap,,"Caption 1: a man holding a small animal in his hands
Caption 2: a man is holding a small animal in his lap
What's the transition?"
a parade in the middle of a city,a group of people are walking down the street,,"Caption 1: a parade in the middle of a city
Caption 2: a group of people are walking down the street
What's the transition?"
a man is jumping in the air,a man is hanging on a tree in the park,,"Caption 1: a man is jumping in the air
Caption 2: a man is hanging on a tree in the park
What's the transition?"
a man is hanging on a tree in the park,a man is jumping off a boat,,"Caption 1: a man is hanging on a tree in the park
Caption 2: a man is jumping off a boat
What's the transition?"
a man is jumping off a boat,a man is standing in the middle of a field,,"Caption 1: a man is jumping off a boat
Caption 2: a man is standing in the middle of a field
What's the transition?"
a man is standing in the grass,a man is seen in the middle of a video,,"Caption 1: a man is standing in the grass
Caption 2: a man is seen in the middle of a video
What's the transition?"
a car is parked in the middle of a street,a man is seen in the middle of the street as he walks past a parked car,,"Caption 1: a car is parked in the middle of a street
Caption 2: a man is seen in the middle of the street as he walks past a parked car
What's the transition?"
a man in a suit and hat standing next to a little boy,a man and woman dancing in a forest,,"Caption 1: a man in a suit and hat standing next to a little boy
Caption 2: a man and woman dancing in a forest
What's the transition?"
a man and woman dancing in a forest,a man in a suit and hat dancing with another man in a suit,,"Caption 1: a man and woman dancing in a forest
Caption 2: a man in a suit and hat dancing with another man in a suit
What's the transition?"
a man in a suit and hat dancing with two boys,the three men are dancing together in a black and white photo,,"Caption 1: a man in a suit and hat dancing with two boys
Caption 2: the three men are dancing together in a black and white photo
What's the transition?"
the three men are dancing together in a black and white photo,the three men are dancing in the woods,,"Caption 1: the three men are dancing together in a black and white photo
Caption 2: the three men are dancing in the woods
What's the transition?"
a man is pling his ox in the mud,a group of cows are walking through a muddy field,,"Caption 1: a man is pling his ox in the mud
Caption 2: a group of cows are walking through a muddy field
What's the transition?"
a group of cows are walking through a muddy field,a man is walking with two cows in the mud,,"Caption 1: a group of cows are walking through a muddy field
Caption 2: a man is walking with two cows in the mud
What's the transition?"
a man is walking with two cows in the mud,a man is plowing a herd of buffalos,,"Caption 1: a man is walking with two cows in the mud
Caption 2: a man is plowing a herd of buffalos
What's the transition?"
a man is plowing a herd of buffalos,a man is pling a large animal in the mud,,"Caption 1: a man is plowing a herd of buffalos
Caption 2: a man is pling a large animal in the mud
What's the transition?"
a man is pling a large animal in the mud,a man pling a field with a horse,,"Caption 1: a man is pling a large animal in the mud
Caption 2: a man pling a field with a horse
What's the transition?"
a man pling a field with a horse,a man is plowing a buffalo with a rope,,"Caption 1: a man pling a field with a horse
Caption 2: a man is plowing a buffalo with a rope
What's the transition?"
a donkey is standing in the grass,a man riding a white horse in a field,,"Caption 1: a donkey is standing in the grass
Caption 2: a man riding a white horse in a field
What's the transition?"
a dog is standing in the grass with a frun,a woman riding a white horse in a field,,"Caption 1: a dog is standing in the grass with a frun
Caption 2: a woman riding a white horse in a field
What's the transition?"
a man is standing in a field with a dog,a man is holding a dog in his hand,,"Caption 1: a man is standing in a field with a dog
Caption 2: a man is holding a dog in his hand
What's the transition?"
a man and woman riding on the back of a white horse,a man and woman are riding a donkey,,"Caption 1: a man and woman riding on the back of a white horse
Caption 2: a man and woman are riding a donkey
What's the transition?"
a man and woman are petting a donkey,a man and woman are standing next to a goat,,"Caption 1: a man and woman are petting a donkey
Caption 2: a man and woman are standing next to a goat
What's the transition?"
a pot filled with green leaves and a wooden spoon,a woman in a kitchen with a dog,,"Caption 1: a pot filled with green leaves and a wooden spoon
Caption 2: a woman in a kitchen with a dog
What's the transition?"
a man is standing in the snow with a dog,a woman is walking down the road with a man,,"Caption 1: a man is standing in the snow with a dog
Caption 2: a woman is walking down the road with a man
What's the transition?"
a woman is laying on the floor with her feet up,a woman sitting on the beach with a camera,,"Caption 1: a woman is laying on the floor with her feet up
Caption 2: a woman sitting on the beach with a camera
What's the transition?"
a woman in a bikini is taking a picture of herself,a woman in a white dress and sunglasses,,"Caption 1: a woman in a bikini is taking a picture of herself
Caption 2: a woman in a white dress and sunglasses
What's the transition?"
a video of a plane being flown by a man,a video of a plane with people standing around it,,"Caption 1: a video of a plane being flown by a man
Caption 2: a video of a plane with people standing around it
What's the transition?"
a video of a group of people dancing in front of a plane,a video of a plane being flown by a man,,"Caption 1: a video of a group of people dancing in front of a plane
Caption 2: a video of a plane being flown by a man
What's the transition?"
a video of a plane being flown by a man,a television screen with a cartoon character on it,,"Caption 1: a video of a plane being flown by a man
Caption 2: a television screen with a cartoon character on it
What's the transition?"
a man is shooting a gun at a target,a motorcycle is riding down the road in the rain,,"Caption 1: a man is shooting a gun at a target
Caption 2: a motorcycle is riding down the road in the rain
What's the transition?"
a map is shown on the floor of a building,a woman sitting on a bed reading a book,,"Caption 1: a map is shown on the floor of a building
Caption 2: a woman sitting on a bed reading a book
What's the transition?"
a woman is sitting on a bed reading a book,a woman laying on a bed,,"Caption 1: a woman is sitting on a bed reading a book
Caption 2: a woman laying on a bed
What's the transition?"
a woman laying on a bed,a man sitting on a couch watching a television,,"Caption 1: a woman laying on a bed
Caption 2: a man sitting on a couch watching a television
What's the transition?"
a man sitting in front of a television,a television sitting on a table,,"Caption 1: a man sitting in front of a television
Caption 2: a television sitting on a table
What's the transition?"
a television sitting on a table,a woman sitting on a bed holding a cell,,"Caption 1: a television sitting on a table
Caption 2: a woman sitting on a bed holding a cell
What's the transition?"
a woman sitting on a bed,a television set on a stand,,"Caption 1: a woman sitting on a bed
Caption 2: a television set on a stand
What's the transition?"
a television sitting on a table,a woman with long hair and a white shirt,,"Caption 1: a television sitting on a table
Caption 2: a woman with long hair and a white shirt
What's the transition?"
a boy sitting at a table,a young boy is playing on a laptop,,"Caption 1: a boy sitting at a table
Caption 2: a young boy is playing on a laptop
What's the transition?"
a small mouse is playing with a blanket,a cat is laying on a blanket on a couch,,"Caption 1: a small mouse is playing with a blanket
Caption 2: a cat is laying on a blanket on a couch
What's the transition?"
a man is cooking food on a campfire,a man is riding a motorcycle on a dirt track,,"Caption 1: a man is cooking food on a campfire
Caption 2: a man is riding a motorcycle on a dirt track
What's the transition?"
a man is riding a motorcycle on a dirt track,a man carrying a red bag in the grass,,"Caption 1: a man is riding a motorcycle on a dirt track
Caption 2: a man carrying a red bag in the grass
What's the transition?"
a man carrying a red bag in the grass,a man is standing next to a car,,"Caption 1: a man carrying a red bag in the grass
Caption 2: a man is standing next to a car
What's the transition?"
a man is standing next to a car,a man is standing in the grass with a red fire hydra,,"Caption 1: a man is standing next to a car
Caption 2: a man is standing in the grass with a red fire hydra
What's the transition?"
a man is standing in the grass with a red fire hydra,a man is holding a red bag while another man watches,,"Caption 1: a man is standing in the grass with a red fire hydra
Caption 2: a man is holding a red bag while another man watches
What's the transition?"
a man in a red jacket is holding a red bag,a man is throwing a red object in the grass,,"Caption 1: a man in a red jacket is holding a red bag
Caption 2: a man is throwing a red object in the grass
What's the transition?"
a man is throwing a red object in the grass,a dog is sitting on a blanket with a ball,,"Caption 1: a man is throwing a red object in the grass
Caption 2: a dog is sitting on a blanket with a ball
What's the transition?"
a dog is sitting on a blanket with a ball,a man is holding a red umbrella,,"Caption 1: a dog is sitting on a blanket with a ball
Caption 2: a man is holding a red umbrella
What's the transition?"
a man is holding a red umbrella,a man is putting a fire in the woods,,"Caption 1: a man is holding a red umbrella
Caption 2: a man is putting a fire in the woods
What's the transition?"
a man and a woman are walking in a dark room,a man and woman standing in front of a brick wall,,"Caption 1: a man and a woman are walking in a dark room
Caption 2: a man and woman standing in front of a brick wall
What's the transition?"
a man and woman standing in front of a brick wall,a man in a white shirt is playing a piano,,"Caption 1: a man and woman standing in front of a brick wall
Caption 2: a man in a white shirt is playing a piano
What's the transition?"
a man in a white shirt is playing a piano,a man in a white shirt is looking at another,,"Caption 1: a man in a white shirt is playing a piano
Caption 2: a man in a white shirt is looking at another
What's the transition?"
a man in a white shirt is looking at another,the band is playing drums in a dark room,,"Caption 1: a man in a white shirt is looking at another
Caption 2: the band is playing drums in a dark room
What's the transition?"
a band playing in a dark room,a man and woman playing instruments in a dark room,,"Caption 1: a band playing in a dark room
Caption 2: a man and woman playing instruments in a dark room
What's the transition?"
a man and woman playing instruments in a dark room,a woman sitting at a piano in front of a wall,,"Caption 1: a man and woman playing instruments in a dark room
Caption 2: a woman sitting at a piano in front of a wall
What's the transition?"
a zebra standing in the dirt next to a tree,a horse standing in a dirt field next to a tree,,"Caption 1: a zebra standing in the dirt next to a tree
Caption 2: a horse standing in a dirt field next to a tree
What's the transition?"
a horse standing in a dirt field next to a tree,a small black and white cow,,"Caption 1: a horse standing in a dirt field next to a tree
Caption 2: a small black and white cow
What's the transition?"
a small black and white cow,a cow standing in a pen with a tree,,"Caption 1: a small black and white cow
Caption 2: a cow standing in a pen with a tree
What's the transition?"
a woman is sitting on a bench in the park,a man is climbing on a metal pole,,"Caption 1: a woman is sitting on a bench in the park
Caption 2: a man is climbing on a metal pole
What's the transition?"
a young boy is playing with a stick,a woman is sitting on a pole with a lizard,,"Caption 1: a young boy is playing with a stick
Caption 2: a woman is sitting on a pole with a lizard
What's the transition?"
a woman is sitting on a pole with a lizard,a man is sitting on the ground with a snake,,"Caption 1: a woman is sitting on a pole with a lizard
Caption 2: a man is sitting on the ground with a snake
What's the transition?"
a man is sitting on the ground with a snake,a man is sitting on a metal pole,,"Caption 1: a man is sitting on the ground with a snake
Caption 2: a man is sitting on a metal pole
What's the transition?"
a man is sitting on a metal pole,a man is holding a stick in his hand,,"Caption 1: a man is sitting on a metal pole
Caption 2: a man is holding a stick in his hand
What's the transition?"
a man is holding a stick in his hand,a mantising mantis on a tree,,"Caption 1: a man is holding a stick in his hand
Caption 2: a mantising mantis on a tree
What's the transition?"
a mantising mantis on a tree,a man is standing next to a tree,,"Caption 1: a mantising mantis on a tree
Caption 2: a man is standing next to a tree
What's the transition?"
a man is climbing a metal pole,a man is fixing a metal pole,,"Caption 1: a man is climbing a metal pole
Caption 2: a man is fixing a metal pole
What's the transition?"
a man is sleeping in a sink,a man is sleeping in a metal container,,"Caption 1: a man is sleeping in a sink
Caption 2: a man is sleeping in a metal container
What's the transition?"
a woman in a white shirt and black pants,a man is running down a hallway,,"Caption 1: a woman in a white shirt and black pants
Caption 2: a man is running down a hallway
What's the transition?"
a man is running down a hallway,a man is walking down a ramp in a building,,"Caption 1: a man is running down a hallway
Caption 2: a man is walking down a ramp in a building
What's the transition?"
a man is walking down a ramp in a building,a man is running on a bridge,,"Caption 1: a man is walking down a ramp in a building
Caption 2: a man is running on a bridge
What's the transition?"
a man is running on a bridge,a man is seen behind a fence in the middle of a street,,"Caption 1: a man is running on a bridge
Caption 2: a man is seen behind a fence in the middle of a street
What's the transition?"
a woman is running on a tread machine,a woman in a red top is doing a kick,,"Caption 1: a woman is running on a tread machine
Caption 2: a woman in a red top is doing a kick
What's the transition?"
a woman in a red top is doing a kick,a woman in a black top is doing a workout,,"Caption 1: a woman in a red top is doing a kick
Caption 2: a woman in a black top is doing a workout
What's the transition?"
a woman in a black top is doing a workout,a man and woman in a gym setting,,"Caption 1: a woman in a black top is doing a workout
Caption 2: a man and woman in a gym setting
What's the transition?"
a man and woman in a gym setting,a man is jumping over a car in the street,,"Caption 1: a man and woman in a gym setting
Caption 2: a man is jumping over a car in the street
What's the transition?"
a man is jumping over a car in the street,a woman driving a car with her mouth open,,"Caption 1: a man is jumping over a car in the street
Caption 2: a woman driving a car with her mouth open
What's the transition?"
a woman driving a car with her mouth open,a dog is driving in a car down the street,,"Caption 1: a woman driving a car with her mouth open
Caption 2: a dog is driving in a car down the street
What's the transition?"
a dog is driving in a car down the street,a black and white photo of a man in a suit,,"Caption 1: a dog is driving in a car down the street
Caption 2: a black and white photo of a man in a suit
What's the transition?"
a black and white photo of a man in a suit,a woman in a pink dress is getting her hair done,,"Caption 1: a black and white photo of a man in a suit
Caption 2: a woman in a pink dress is getting her hair done
What's the transition?"
a cat eating something off of a tile,a cat is eating out of a bowl,,"Caption 1: a cat eating something off of a tile
Caption 2: a cat is eating out of a bowl
What's the transition?"
a drum with a red substance on it,a drum is sitting on a table,,"Caption 1: a drum with a red substance on it
Caption 2: a drum is sitting on a table
What's the transition?"
a pan with a mixture of food cooking in it,a drum is shown in this image,,"Caption 1: a pan with a mixture of food cooking in it
Caption 2: a drum is shown in this image
What's the transition?"
a drum is shown in this image,two women cooking in a kitchen,,"Caption 1: a drum is shown in this image
Caption 2: two women cooking in a kitchen
What's the transition?"
two women cooking in a kitchen with a large pot,a woman cooking food in a large pot,,"Caption 1: two women cooking in a kitchen with a large pot
Caption 2: a woman cooking food in a large pot
What's the transition?"
a woman cooking food in a large pot,a pot of soup,,"Caption 1: a woman cooking food in a large pot
Caption 2: a pot of soup
What's the transition?"
a pot of soup with a wooden spoon,a woman in a kitchen preparing food,,"Caption 1: a pot of soup with a wooden spoon
Caption 2: a woman in a kitchen preparing food
What's the transition?"
