prev_caption,curr_caption,human_transition,input_text,generated_transition
a man is swimming in the water with a dog,two sea lions swimming in the ocean,,"Caption 1: a man is swimming in the water with a dog
Caption 2: two sea lions swimming in the ocean
What's the transition?",Two sea lions appear.
two sea lions swimming in the ocean,two dolphins swimming in a pool,,"Caption 1: two sea lions swimming in the ocean
Caption 2: two dolphins swimming in a pool
What's the transition?",Dolphins are replaced by dolphins.
two dolphins swimming in a pool,a group of fish swimming in a pool,,"Caption 1: two dolphins swimming in a pool
Caption 2: a group of fish swimming in a pool
What's the transition?",A group of fish joins the dolphins.
a group of fish swimming in a pool,a group of dogs swimming in a pool,,"Caption 1: a group of fish swimming in a pool
Caption 2: a group of dogs swimming in a pool
What's the transition?",The dogs are replaced by fish.
a woman sitting at a desk with a laptop,a woman is sitting at a desk with a stack of papers,,"Caption 1: a woman sitting at a desk with a laptop
Caption 2: a woman is sitting at a desk with a stack of papers
What's the transition?",The woman continues to sit at the desk.
a man in a suit,a man holding a yellow rope,,"Caption 1: a man in a suit
Caption 2: a man holding a yellow rope
What's the transition?",He is holding a yellow rope.
a man holding a rope,a man holding a banana,,"Caption 1: a man holding a rope
Caption 2: a man holding a banana
What's the transition?",The man continues to hold a banana.
a group of men playing chess in a room,a man sitting on a couch,,"Caption 1: a group of men playing chess in a room
Caption 2: a man sitting on a couch
What's the transition?",The man sits on the couch.
a dog is standing on the floor with its mouth open,a dog is walking on the ground,,"Caption 1: a dog is standing on the floor with its mouth open
Caption 2: a dog is walking on the ground
What's the transition?",The dog begins walking.
a dog is eating a tennis ball on the ground,a dog is eating a piece of food,,"Caption 1: a dog is eating a tennis ball on the ground
Caption 2: a dog is eating a piece of food
What's the transition?",The dog continues to eat.
a dog eating a fish,a cat is eating a piece of food,,"Caption 1: a dog eating a fish
Caption 2: a cat is eating a piece of food
What's the transition?",A cat joins the dog.
a cat is eating a piece of food,a dog is playing with a tennis ball,,"Caption 1: a cat is eating a piece of food
Caption 2: a dog is playing with a tennis ball
What's the transition?",A dog is playing with a tennis ball.
a dog with a tennis ball in its mouth,a dog is standing in the middle of a street,,"Caption 1: a dog with a tennis ball in its mouth
Caption 2: a dog is standing in the middle of a street
What's the transition?",The dog stands in the middle of the street.
a dog is standing in the middle of a street,a yellow stuffed animal is sitting on the ground,,"Caption 1: a dog is standing in the middle of a street
Caption 2: a yellow stuffed animal is sitting on the ground
What's the transition?",A yellow stuffed animal is shown standing on the ground.
the beach boys - the beach boys live at the hollywood bowl,a man playing guitar on stage with other people,,"Caption 1: the beach boys - the beach boys live at the hollywood bowl
Caption 2: a man playing guitar on stage with other people
What's the transition?",The man plays guitar on stage.
a green and white striped chair,a room with two chairs and a table,,"Caption 1: a green and white striped chair
Caption 2: a room with two chairs and a table
What's the transition?",The room is now a dining room.
a cat is standing on its hinds on a tv,a white cat standing on its hinds,,"Caption 1: a cat is standing on its hinds on a tv
Caption 2: a white cat standing on its hinds
What's the transition?",The cat stands on its hinds.
the band is playing music outside,a man and woman playing instruments in front of a building,,"Caption 1: the band is playing music outside
Caption 2: a man and woman playing instruments in front of a building
What's the transition?",A man and woman play instruments in front of the building.
a man and woman playing instruments in front of a building,a man in an orange shirt is standing in front of a crowd,,"Caption 1: a man and woman playing instruments in front of a building
Caption 2: a man in an orange shirt is standing in front of a crowd
What's the transition?",A man in orange appears in front of the crowd.
a man in a crowd with his hands up,a man playing drums on stage with a microphone,,"Caption 1: a man in a crowd with his hands up
Caption 2: a man playing drums on stage with a microphone
What's the transition?",The man plays drums on stage.
a man playing drums on stage with a microphone,a man with long hair playing drums,,"Caption 1: a man playing drums on stage with a microphone
Caption 2: a man with long hair playing drums
What's the transition?",He has long hair.
a man with long hair playing drums,a man in a crowd with his arms raised,,"Caption 1: a man with long hair playing drums
Caption 2: a man in a crowd with his arms raised
What's the transition?",The man stands in the crowd.
a man in a crowd with his arms raised,a man with a red shirt,,"Caption 1: a man in a crowd with his arms raised
Caption 2: a man with a red shirt
What's the transition?",He is wearing a red shirt.
a man with a red shirt,a group of people standing around a street,,"Caption 1: a man with a red shirt
Caption 2: a group of people standing around a street
What's the transition?",People are seen standing around a street.
a group of people standing around a street,a woman in a red dress is playing a guitar,,"Caption 1: a group of people standing around a street
Caption 2: a woman in a red dress is playing a guitar
What's the transition?",A woman in a red dress plays a guitar.
a woman in a red dress is playing a guitar,a man in a crowd with his hands up,,"Caption 1: a woman in a red dress is playing a guitar
Caption 2: a man in a crowd with his hands up
What's the transition?",The woman continues playing a guitar.
a man in a crowd with his hands up,a woman in a red shirt and sunglasses is dancing,,"Caption 1: a man in a crowd with his hands up
Caption 2: a woman in a red shirt and sunglasses is dancing
What's the transition?",The woman is now dancing.
a woman in a red shirt and sunglasses is dancing,a group of people standing in front of a crowd,,"Caption 1: a woman in a red shirt and sunglasses is dancing
Caption 2: a group of people standing in front of a crowd
What's the transition?",A group of people appear in front of the crowd.
two women are kissing in a room,two women are standing in a room with one woman,,"Caption 1: two women are kissing in a room
Caption 2: two women are standing in a room with one woman
What's the transition?",Two women are in the room with one woman.
two women are standing in a room with one woman,a woman is seen in a video,,"Caption 1: two women are standing in a room with one woman
Caption 2: a woman is seen in a video
What's the transition?",The woman is shown in a video.
ham hamy eats carrots,ham hamies are the best hamies,,"Caption 1: ham hamy eats carrots
Caption 2: ham hamies are the best hamies
What's the transition?",The hamies are the best.
a monkey in a red jacket is sitting on a chair,a woman is giving a child a bottle,,"Caption 1: a monkey in a red jacket is sitting on a chair
Caption 2: a woman is giving a child a bottle
What's the transition?",The woman is giving a baby a bottle.
a woman is giving a child a bottle,a woman combs a dog with a comb,,"Caption 1: a woman is giving a child a bottle
Caption 2: a woman combs a dog with a comb
What's the transition?",The woman combs the dog with a comb.
a woman combs a dog with a comb,a woman is petting a dog in a store,,"Caption 1: a woman combs a dog with a comb
Caption 2: a woman is petting a dog in a store
What's the transition?",The woman petts the dog.
a woman is petting a dog in a store,a man is giving a dog a bottle,,"Caption 1: a woman is petting a dog in a store
Caption 2: a man is giving a dog a bottle
What's the transition?",The woman gives the dog a bottle.
a man is giving a dog a bottle,a man is petting a dog in a room,,"Caption 1: a man is giving a dog a bottle
Caption 2: a man is petting a dog in a room
What's the transition?",The man petts the dog.
a woman in a yellow shirt is talking to a man,a man cooking food in a kitchen with two men,,"Caption 1: a woman in a yellow shirt is talking to a man
Caption 2: a man cooking food in a kitchen with two men
What's the transition?",The woman is cooking with two men.
a pile of rice is shown in this image,a man is standing in the rain,,"Caption 1: a pile of rice is shown in this image
Caption 2: a man is standing in the rain
What's the transition?",A man appears in the rain.
a man is standing in the rain,a woman and a man are sitting down on a couch,,"Caption 1: a man is standing in the rain
Caption 2: a woman and a man are sitting down on a couch
What's the transition?",The woman and man sit down on the couch.
a girl riding a horse on a field,a woman is running in the grass,,"Caption 1: a girl riding a horse on a field
Caption 2: a woman is running in the grass
What's the transition?",The woman begins to run.
a woman is running in the grass,you always stood behind you,,"Caption 1: a woman is running in the grass
Caption 2: you always stood behind you
What's the transition?",The woman stands behind you.
a young boy is playing baseball on a field,a baseball player is getting ready to hit the ball,,"Caption 1: a young boy is playing baseball on a field
Caption 2: a baseball player is getting ready to hit the ball
What's the transition?",The boy begins to hit the ball.
a cat is eating a carrot,a cat is standing on the floor and being fed,,"Caption 1: a cat is eating a carrot
Caption 2: a cat is standing on the floor and being fed
What's the transition?",The cat is being fed.
a woman sitting on a couch with her finger in her mouth,a woman sitting on a couch smoking a cigarette,,"Caption 1: a woman sitting on a couch with her finger in her mouth
Caption 2: a woman sitting on a couch smoking a cigarette
What's the transition?",The woman starts smoking a cigarette.
a woman smoking a cigarette,a fire place with a fire in it,,"Caption 1: a woman smoking a cigarette
Caption 2: a fire place with a fire in it
What's the transition?",There is a fire in the fire place.
a large room with a large floor and a large wall,a young girl with long hair walking down a dirt road,,"Caption 1: a large room with a large floor and a large wall
Caption 2: a young girl with long hair walking down a dirt road
What's the transition?",The girl walks down a dirt road.
a young girl with long hair walking down a dirt road,a man standing in the middle of a desert,,"Caption 1: a young girl with long hair walking down a dirt road
Caption 2: a man standing in the middle of a desert
What's the transition?",A man appears in the middle of the desert.
a man standing in the middle of a desert,a man running across a desert with mountains in the background,,"Caption 1: a man standing in the middle of a desert
Caption 2: a man running across a desert with mountains in the background
What's the transition?",The man begins to run.
a man running across a desert with mountains in the background,a blur of a woman walking in a field,,"Caption 1: a man running across a desert with mountains in the background
Caption 2: a blur of a woman walking in a field
What's the transition?",A woman appears walking in the field.
a group of people walking through a park,a table with a glass of water and a cup of liquid,,"Caption 1: a group of people walking through a park
Caption 2: a table with a glass of water and a cup of liquid
What's the transition?",They sit at a table.
a man standing in front of a fireplace,a woman in a fur coat is dancing,,"Caption 1: a man standing in front of a fireplace
Caption 2: a woman in a fur coat is dancing
What's the transition?",The woman is dancing.
a woman in a fur coat is dancing,a woman standing in front of a television,,"Caption 1: a woman in a fur coat is dancing
Caption 2: a woman standing in front of a television
What's the transition?",The woman stands in front of a television.
a man in a room,a woman standing in front of a fireplace,,"Caption 1: a man in a room
Caption 2: a woman standing in front of a fireplace
What's the transition?",The woman stands in front of the fireplace.
a woman is standing in front of a fireplace,a woman standing in front of a tv,,"Caption 1: a woman is standing in front of a fireplace
Caption 2: a woman standing in front of a tv
What's the transition?",The woman stands in front of a tv.
a woman standing in front of a tv,a man in a long dress standing in front of a television,,"Caption 1: a woman standing in front of a tv
Caption 2: a man in a long dress standing in front of a television
What's the transition?",The woman is wearing a long dress.
a cat drinking water out of a bowl,a cat is eating out of a white plate,,"Caption 1: a cat drinking water out of a bowl
Caption 2: a cat is eating out of a white plate
What's the transition?",The cat continues to eat.
a spoon is being used to scoop a spoonful of tomato soup,a bowl of chili and bread on a plate,,"Caption 1: a spoon is being used to scoop a spoonful of tomato soup
Caption 2: a bowl of chili and bread on a plate
What's the transition?",The soup is now on top of the bowl.
a man in a yellow raincoat and mask,a man in a yellow raincoat holding a small bird,,"Caption 1: a man in a yellow raincoat and mask
Caption 2: a man in a yellow raincoat holding a small bird
What's the transition?",The man is holding a small bird.
a woman eating a piece of cake in a kitchen,a woman with purple hair,,"Caption 1: a woman eating a piece of cake in a kitchen
Caption 2: a woman with purple hair
What's the transition?",The woman colored her hair.
a woman with purple hair,a woman with long hair,,"Caption 1: a woman with purple hair
Caption 2: a woman with long hair
What's the transition?",She has long hair.
two women in a kitchen preparing food,a woman is making a bowl of food,,"Caption 1: two women in a kitchen preparing food
Caption 2: a woman is making a bowl of food
What's the transition?",The woman prepares a bowl of food.
a woman is making a smooth smooth smooth,two women in a kitchen preparing food,,"Caption 1: a woman is making a smooth smooth smooth
Caption 2: two women in a kitchen preparing food
What's the transition?",Two women are preparing food.
a woman is cooking with another woman,a frying pan with two rings on it,,"Caption 1: a woman is cooking with another woman
Caption 2: a frying pan with two rings on it
What's the transition?",The woman prepares a frying pan.
a man is pouring something into a pot,a pan with food cooking in it,,"Caption 1: a man is pouring something into a pot
Caption 2: a pan with food cooking in it
What's the transition?",The pot continues to cook.
a pan with food cooking in it,a woman is cooking a meal with another woman,,"Caption 1: a pan with food cooking in it
Caption 2: a woman is cooking a meal with another woman
What's the transition?",The woman prepares a meal with the man.
a man is playing with a dog in the dirt,a dog is walking on a dirt path,,"Caption 1: a man is playing with a dog in the dirt
Caption 2: a dog is walking on a dirt path
What's the transition?",The dog begins walking.
a dog is walking on a dirt path,a man is holding a dog in his hand,,"Caption 1: a dog is walking on a dirt path
Caption 2: a man is holding a dog in his hand
What's the transition?",A man is holding the dog.
a man is holding a dog in his hand,a man is playing with a dog in the yard,,"Caption 1: a man is holding a dog in his hand
Caption 2: a man is playing with a dog in the yard
What's the transition?",The man plays with the dog.
a bird eating from a bowl of food,a gi is reaching a tree branch to grab it,,"Caption 1: a bird eating from a bowl of food
Caption 2: a gi is reaching a tree branch to grab it
What's the transition?",A gi appears.
a gi is reaching a tree branch to grab it,a fence with a wooden post and a tree,,"Caption 1: a gi is reaching a tree branch to grab it
Caption 2: a fence with a wooden post and a tree
What's the transition?",The fence is replaced by a wooden post.
a wooden fence with a metal pole on top,a bird is perched on a pole in the yard,,"Caption 1: a wooden fence with a metal pole on top
Caption 2: a bird is perched on a pole in the yard
What's the transition?",A bird appears in the yard.
a white bird is perched on a pole,a white bird is sitting on a fence,,"Caption 1: a white bird is perched on a pole
Caption 2: a white bird is sitting on a fence
What's the transition?",The bird continues to sit.
a bird is sitting on a fence in the yard,a yellow pipe is in the middle of a fence,,"Caption 1: a bird is sitting on a fence in the yard
Caption 2: a yellow pipe is in the middle of a fence
What's the transition?",A yellow pipe is in the middle of the fence.
a man riding a motorcycle inside of a building,a man is doing a trick on a skateboard,,"Caption 1: a man riding a motorcycle inside of a building
Caption 2: a man is doing a trick on a skateboard
What's the transition?",The man switches from a motorcycle to a skateboard.
a man in a suit is standing in a garage,a man in a garage with a machine,,"Caption 1: a man in a suit is standing in a garage
Caption 2: a man in a garage with a machine
What's the transition?",The man has a machine.
a man is riding a motorcycle in a garage,a man doing a trick in a garage,,"Caption 1: a man is riding a motorcycle in a garage
Caption 2: a man doing a trick in a garage
What's the transition?",The man switches from a motorcycle to a trick.
a man doing a trick on a skateboard,a man is riding a horse in a barn,,"Caption 1: a man doing a trick on a skateboard
Caption 2: a man is riding a horse in a barn
What's the transition?",The man begins riding a horse.
a man is riding a horse in a barn,a man is standing in a garage with a skateboard,,"Caption 1: a man is riding a horse in a barn
Caption 2: a man is standing in a garage with a skateboard
What's the transition?",The man is using a skateboard.
a woman is brushing her teeth in the mirror,a woman is putting her lips with a tooth,,"Caption 1: a woman is brushing her teeth in the mirror
Caption 2: a woman is putting her lips with a tooth
What's the transition?",The woman starts to brush her teeth.
a woman is putting her lips with a tooth,a woman with a cigarette in her mouth,,"Caption 1: a woman is putting her lips with a tooth
Caption 2: a woman with a cigarette in her mouth
What's the transition?",The woman switches from a cigarette to a cigarette.
a woman with a cigarette in her mouth,a woman with a knife in her hand,,"Caption 1: a woman with a cigarette in her mouth
Caption 2: a woman with a knife in her hand
What's the transition?",The woman has a knife in her hand.
a woman with a knife in her hand,a woman with a white shirt and a brown bag,,"Caption 1: a woman with a knife in her hand
Caption 2: a woman with a white shirt and a brown bag
What's the transition?",She is wearing a white shirt and a brown bag.
a woman with a white shirt and a brown bag,a woman with a white shirt and a black tie,,"Caption 1: a woman with a white shirt and a brown bag
Caption 2: a woman with a white shirt and a black tie
What's the transition?",The woman is wearing a black tie.
a woman with short hair,a woman with a white shirt and red lipstick,,"Caption 1: a woman with short hair
Caption 2: a woman with a white shirt and red lipstick
What's the transition?",She is wearing a white shirt and red lipstick.
a woman with a white shirt and red lipstick,a woman with a white shirt,,"Caption 1: a woman with a white shirt and red lipstick
Caption 2: a woman with a white shirt
What's the transition?",The woman is wearing a white shirt and red lipstick.
a woman with a white shirt,a woman is taking a bite of her cigarette,,"Caption 1: a woman with a white shirt
Caption 2: a woman is taking a bite of her cigarette
What's the transition?",The woman starts a cigarette.
a woman is taking a bite from her finger,a woman with a white shirt and red lipstick,,"Caption 1: a woman is taking a bite from her finger
Caption 2: a woman with a white shirt and red lipstick
What's the transition?",The woman is wearing a white shirt and red lipstick.
a woman with a cigarette in her mouth,a woman is putting her lipstick in the mirror,,"Caption 1: a woman with a cigarette in her mouth
Caption 2: a woman is putting her lipstick in the mirror
What's the transition?",The woman starts putting her lipstick in the mirror.
a woman is brushing her teeth with a tooth brush,a woman is holding a cell phone,,"Caption 1: a woman is brushing her teeth with a tooth brush
Caption 2: a woman is holding a cell phone
What's the transition?",The woman holds a cell phone.
a woman is holding a cell phone,a woman is holding a toothbrush and looking at the camera,,"Caption 1: a woman is holding a cell phone
Caption 2: a woman is holding a toothbrush and looking at the camera
What's the transition?",The woman grabs a toothbrush and looks at the camera.
a man in a red shirt,a man in a red jacket,,"Caption 1: a man in a red shirt
Caption 2: a man in a red jacket
What's the transition?",He is wearing a red jacket.
a cat is sitting on a bag of corn,a cat is holding a banana in its mouth,,"Caption 1: a cat is sitting on a bag of corn
Caption 2: a cat is holding a banana in its mouth
What's the transition?",The cat continues to hold the bag.
a car driving down a street in the rain,a man in a hat and sunglasses driving a car,,"Caption 1: a car driving down a street in the rain
Caption 2: a man in a hat and sunglasses driving a car
What's the transition?",The car is wearing a hat and sunglasses.
a young girl is playing the piano on stage,a woman in a white dress playing a piano,,"Caption 1: a young girl is playing the piano on stage
Caption 2: a woman in a white dress playing a piano
What's the transition?",The woman continues playing the piano.
a cage full of cats and dogs,a group of small dogs in a cage,,"Caption 1: a cage full of cats and dogs
Caption 2: a group of small dogs in a cage
What's the transition?",Cuts to a group of dogs.
two small white ponies in a cage,a small white and black poo in a cage,,"Caption 1: two small white ponies in a cage
Caption 2: a small white and black poo in a cage
What's the transition?",The ponies poo.
a small white and black poo in a cage,a small white dog in a cage with a ball on top,,"Caption 1: a small white and black poo in a cage
Caption 2: a small white dog in a cage with a ball on top
What's the transition?",The dog continues to poo.
a small white dog in a cage with a ball on top,a feld is in a cage with a dog inside,,"Caption 1: a small white dog in a cage with a ball on top
Caption 2: a feld is in a cage with a dog inside
What's the transition?",A feld joins the dog.
a woman singing into a microphone in a dark room,a woman with long hair and a white shirt,,"Caption 1: a woman singing into a microphone in a dark room
Caption 2: a woman with long hair and a white shirt
What's the transition?",The woman is wearing a white shirt.
a woman with long hair and a white shirt,a woman in a white dress is holding a man,,"Caption 1: a woman with long hair and a white shirt
Caption 2: a woman in a white dress is holding a man
What's the transition?",The woman is holding a man.
a woman in a white dress is holding a man,a woman is sitting on the ground in a city,,"Caption 1: a woman in a white dress is holding a man
Caption 2: a woman is sitting on the ground in a city
What's the transition?",The woman sits on the ground.
a woman is sitting on the ground in a city,a woman is sitting on the ground with a man,,"Caption 1: a woman is sitting on the ground in a city
Caption 2: a woman is sitting on the ground with a man
What's the transition?",The woman continues to sit with the man.
a woman is sitting on the ground with a man,a woman with a surprised face is shown in the screen,,"Caption 1: a woman is sitting on the ground with a man
Caption 2: a woman with a surprised face is shown in the screen
What's the transition?",The woman is shown in the screen.
a woman with a surprised face is shown in the screen,a woman with long hair and a black shirt,,"Caption 1: a woman with a surprised face is shown in the screen
Caption 2: a woman with long hair and a black shirt
What's the transition?",The woman is wearing a black shirt.
a woman with long hair and a black shirt,a woman with a mouth full of blood,,"Caption 1: a woman with long hair and a black shirt
Caption 2: a woman with a mouth full of blood
What's the transition?",The woman opens her mouth.
a woman with blood on her face and mouth,a man is being fucked by a woman,,"Caption 1: a woman with blood on her face and mouth
Caption 2: a man is being fucked by a woman
What's the transition?",The man is now being fucked by a woman.
a man is being fucked by a woman,a woman with long hair,,"Caption 1: a man is being fucked by a woman
Caption 2: a woman with long hair
What's the transition?",The woman has long hair.
a woman with long hair,a woman in a white dress is dancing,,"Caption 1: a woman with long hair
Caption 2: a woman in a white dress is dancing
What's the transition?",The woman begins dancing.
a man is holding a shirt in his hands,a man holding up a shirt with the youtube logo on it,,"Caption 1: a man is holding a shirt in his hands
Caption 2: a man holding up a shirt with the youtube logo on it
What's the transition?",The man switches from a shirt to a video.
a man in a gray shirt,a man in a kitchen cutting vegetables on a cutting board,,"Caption 1: a man in a gray shirt
Caption 2: a man in a kitchen cutting vegetables on a cutting board
What's the transition?",The man is preparing vegetables on the cutting board.
a man in a kitchen cutting vegetables on a cutting board,a man in a kitchen,,"Caption 1: a man in a kitchen cutting vegetables on a cutting board
Caption 2: a man in a kitchen
What's the transition?",The man continues to prepare vegetables.
a man in a kitchen preparing food with a knife,a man cutting a lime into a bowl,,"Caption 1: a man in a kitchen preparing food with a knife
Caption 2: a man cutting a lime into a bowl
What's the transition?",The man prepares a lime.
a woman in yellow jacket holding a microphone,a young girl in a yellow jacket is pointing her finger at the camera,,"Caption 1: a woman in yellow jacket holding a microphone
Caption 2: a young girl in a yellow jacket is pointing her finger at the camera
What's the transition?",The young girl is pointing her finger at the camera.
a young girl in a yellow jacket is pointing her finger at the camera,a girl in a yellow jacket,,"Caption 1: a young girl in a yellow jacket is pointing her finger at the camera
Caption 2: a girl in a yellow jacket
What's the transition?",The girl continues to hold the camera.
a door with a handle,a man in a suit,,"Caption 1: a door with a handle
Caption 2: a man in a suit
What's the transition?",He is wearing a suit.
a man in a suit,a woman in a red dress,,"Caption 1: a man in a suit
Caption 2: a woman in a red dress
What's the transition?",The woman is wearing a red dress.
a woman in a red dress,a woman in a red dress is walking down a dark hallway,,"Caption 1: a woman in a red dress
Caption 2: a woman in a red dress is walking down a dark hallway
What's the transition?",The woman walks down a dark hallway.
a dog is sitting on a chair in a room,a gorilla is standing in front of a computer,,"Caption 1: a dog is sitting on a chair in a room
Caption 2: a gorilla is standing in front of a computer
What's the transition?",A gorilla is standing in front of a computer.
a gorilla is standing in front of a computer,a gorilla sitting on a motorcycle in a room,,"Caption 1: a gorilla is standing in front of a computer
Caption 2: a gorilla sitting on a motorcycle in a room
What's the transition?",The gorilla is on a motorcycle.
a gorilla sitting on a motorcycle in a room,a gorilla is playing drums in a room,,"Caption 1: a gorilla sitting on a motorcycle in a room
Caption 2: a gorilla is playing drums in a room
What's the transition?",The gorilla plays drums.
a black and white dog with a big smile,a gorilla is standing in front of a television screen,,"Caption 1: a black and white dog with a big smile
Caption 2: a gorilla is standing in front of a television screen
What's the transition?",A gorilla appears in front of the television screen.
a gorilla is standing in front of a television screen,a bird with a black beak,,"Caption 1: a gorilla is standing in front of a television screen
Caption 2: a bird with a black beak
What's the transition?",The gorilla is replaced by a bird.
a bird with a black beak,a man in a gorilla costume is standing next to a gorilla,,"Caption 1: a bird with a black beak
Caption 2: a man in a gorilla costume is standing next to a gorilla
What's the transition?",A man in gorilla costume appears next to the bird.
a man in a gorilla costume is standing next to a gorilla,a man with a sword in his hand,,"Caption 1: a man in a gorilla costume is standing next to a gorilla
Caption 2: a man with a sword in his hand
What's the transition?",The man is holding a sword.
a man with a sword in his hand,a gorilla playing drums in a room,,"Caption 1: a man with a sword in his hand
Caption 2: a gorilla playing drums in a room
What's the transition?",A gorilla accompanies the man playing drums.
a drummer drumming on a drum,a dog is playing drums in a room,,"Caption 1: a drummer drumming on a drum
Caption 2: a dog is playing drums in a room
What's the transition?",A dog is playing drums.
a cat is sitting on a white surface,a white plate with a white and green design,,"Caption 1: a cat is sitting on a white surface
Caption 2: a white plate with a white and green design
What's the transition?",The cat is now on a white plate.
a white plate with a white and green design,a cat in a bathtub,,"Caption 1: a white plate with a white and green design
Caption 2: a cat in a bathtub
What's the transition?",A cat appears in the bathtub.
a man in a suit and tie is standing in the dark,a car driving down a winding road in the mountains,,"Caption 1: a man in a suit and tie is standing in the dark
Caption 2: a car driving down a winding road in the mountains
What's the transition?",The car begins to drive down the road.
a car driving down a winding road in the mountains,a road winding through a lush green valley,,"Caption 1: a car driving down a winding road in the mountains
Caption 2: a road winding through a lush green valley
What's the transition?",The road becomes a lush green valley.
a road winding through a lush green valley,a golf course in the mountains,,"Caption 1: a road winding through a lush green valley
Caption 2: a golf course in the mountains
What's the transition?",There is a golf course in the mountains.
a group of people dancing in a room,a woman and a child playing a video game,,"Caption 1: a group of people dancing in a room
Caption 2: a woman and a child playing a video game
What's the transition?",A woman and a child are playing a video game.
a woman and a child playing a video game,a group of people standing around a living room,,"Caption 1: a woman and a child playing a video game
Caption 2: a group of people standing around a living room
What's the transition?",A group of people appear in the living room.
a cat is sitting in a box on the floor,a man is seen in this surveillance image,,"Caption 1: a cat is sitting in a box on the floor
Caption 2: a man is seen in this surveillance image
What's the transition?",A man appears in the surveillance image.
a man is seen in this surveillance image,a cat is walking down the stairs in a room,,"Caption 1: a man is seen in this surveillance image
Caption 2: a cat is walking down the stairs in a room
What's the transition?",A cat walks down the stairs.
a cat is walking down the stairs in a room,a cat is standing in the corner of a room,,"Caption 1: a cat is walking down the stairs in a room
Caption 2: a cat is standing in the corner of a room
What's the transition?",The cat remains standing.
how to change a car battery,a man is pouring a car engine oil,,"Caption 1: how to change a car battery
Caption 2: a man is pouring a car engine oil
What's the transition?",The man starts pouring car engine oil.
a man is pouring a car engine oil,a man and woman are sitting in a living room,,"Caption 1: a man is pouring a car engine oil
Caption 2: a man and woman are sitting in a living room
What's the transition?",The man and woman sit in the living room.
a woman is making a christmas tree,a woman is holding a piece of paper,,"Caption 1: a woman is making a christmas tree
Caption 2: a woman is holding a piece of paper
What's the transition?",The woman holds a piece of paper.
a woman is holding a piece of paper,a woman is knitting a pair of socks,,"Caption 1: a woman is holding a piece of paper
Caption 2: a woman is knitting a pair of socks
What's the transition?",The woman is knitting socks.
a woman is knitting a pair of socks,two women sitting on a couch talking to each other women,,"Caption 1: a woman is knitting a pair of socks
Caption 2: two women sitting on a couch talking to each other women
What's the transition?",The women sit on the couch.
two women sitting on a couch talking to each other women,a woman sitting on a couch next to a man,,"Caption 1: two women sitting on a couch talking to each other women
Caption 2: a woman sitting on a couch next to a man
What's the transition?",The woman sits next to the man.
a man with a beard,a man is throwing a frc ball in the yard,,"Caption 1: a man with a beard
Caption 2: a man is throwing a frc ball in the yard
What's the transition?",The man throws a frc ball in the yard.
a man is throwing a frc ball in the yard,a red balloon flying in the sky,,"Caption 1: a man is throwing a frc ball in the yard
Caption 2: a red balloon flying in the sky
What's the transition?",A red balloon appears.
a red balloon flying in the sky,a basketball ball is in the air above a basketball hoop,,"Caption 1: a red balloon flying in the sky
Caption 2: a basketball ball is in the air above a basketball hoop
What's the transition?",A basketball ball is shown in the air.
a basketball ball is in the air above a basketball hoop,a basketball hoop hanging from the roof of a house,,"Caption 1: a basketball ball is in the air above a basketball hoop
Caption 2: a basketball hoop hanging from the roof of a house
What's the transition?",The ball is still in the air.
a man playing a piano in a room,a man singing into a microphone on a stage,,"Caption 1: a man playing a piano in a room
Caption 2: a man singing into a microphone on a stage
What's the transition?",The man begins singing.
a man and a little boy are playing with a frc,a young boy is playing with a skateboard,,"Caption 1: a man and a little boy are playing with a frc
Caption 2: a young boy is playing with a skateboard
What's the transition?",The boy is now using a skateboard.
a boy is bending on a wooden bench,a man carrying a large tree on his back,,"Caption 1: a boy is bending on a wooden bench
Caption 2: a man carrying a large tree on his back
What's the transition?",The man carries a large tree.
a man holding a large tree over his head,a boy holding a large piece of wood,,"Caption 1: a man holding a large tree over his head
Caption 2: a boy holding a large piece of wood
What's the transition?",The boy is holding a large piece of wood.
a man carrying a large tree on his back,a boy holding a wooden plank,,"Caption 1: a man carrying a large tree on his back
Caption 2: a boy holding a wooden plank
What's the transition?",The boy is holding a wooden plank.
a girl is sitting at a table with a bowl of fruit,a little girl making a smooth smooth smoothie,,"Caption 1: a girl is sitting at a table with a bowl of fruit
Caption 2: a little girl making a smooth smooth smoothie
What's the transition?",The girl continues to make a smooth smoothie.
a boy sitting in a car seat,a boy in a red vest,,"Caption 1: a boy sitting in a car seat
Caption 2: a boy in a red vest
What's the transition?",The boy is wearing a red vest.
a boy in a red vest,a young boy in a car,,"Caption 1: a boy in a red vest
Caption 2: a young boy in a car
What's the transition?",The boy is in a car.
a woman in a blue dress dancing on a train,a woman in a blue dress dancing on a stage,,"Caption 1: a woman in a blue dress dancing on a train
Caption 2: a woman in a blue dress dancing on a stage
What's the transition?",The woman continues to dance.
a woman in a blue dress is walking down the street,a man is standing in the dark,,"Caption 1: a woman in a blue dress is walking down the street
Caption 2: a man is standing in the dark
What's the transition?",The woman is standing in the dark.
a man is standing in the dark,a woman in a blue dress dancing,,"Caption 1: a man is standing in the dark
Caption 2: a woman in a blue dress dancing
What's the transition?",The woman begins dancing.
a horse is running in a fenced area,a horse is in the dirt,,"Caption 1: a horse is running in a fenced area
Caption 2: a horse is in the dirt
What's the transition?",Horses are in the dirt.
